ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence
65.254.5.73,Farmingdale High School,exchhub.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.65,Farmingdale High School,sygw2.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.66,Farmingdale High School,www.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.71,Farmingdale High School,mailout.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.72,Farmingdale High School,mail.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.68,Farmingdale High School,fw.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.69,Farmingdale High School,mailgw.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.76,Farmingdale High School,igpro.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.101,Farmingdale High School,ic.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
192.100.55.179,Farmingdale High School,acad179.adelphi.edu,partial_match,NA,NA,no,no,no,1,low
163.153.136.18,Flanders Elementary School,mail.malone.k12.ny.us.153.163.in-addr.arpa,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium
72.80.28.24,Fox Lane Middle School,mail2.polanerselections.com,match,,,no,yes,yes,3,high
50.205.143.221,Greenwood Lake Middle School,xg-1-1-18-3990-soag05.greenwood.in.indiana.comcast.net,match,,,no,yes,yes,3,high
170.24.142.8,Harding Avenue Elementary School,barracuda.msd.k12.ny.us,partial_match,,,no,yes,yes,3,high
65.254.5.2,Harding Avenue Elementary School,bsraptor1.bvr.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.3,Harding Avenue Elementary School,bs3640.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.1,Harding Avenue Elementary School,gw.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.4,Harding Avenue Elementary School,1600-out.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.5,Harding Avenue Elementary School,bsfw2-1605.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.6,Harding Avenue Elementary School,bssdfilter.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.7,Harding Avenue Elementary School,bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.10,Harding Avenue Elementary School,mail2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.8,Harding Avenue Elementary School,www2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.9,Harding Avenue Elementary School,mail1.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.17,Harding Avenue Elementary School,bay-remote.msmain.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.11,Harding Avenue Elementary School,mail.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.12,Harding Avenue Elementary School,raptor.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.13,Harding Avenue Elementary School,finance01.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.15,Harding Avenue Elementary School,eportfolio.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.14,Harding Avenue Elementary School,mis.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.18,Harding Avenue Elementary School,bay-ms-ts01.msmain.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.16,Harding Avenue Elementary School,bay-ms-ts02.msmain.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.19,Harding Avenue Elementary School,tel.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
