school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,url,trimmed_url
Howard B. Mattlin Middle School,-73.4636535644531,40.7792053222656,Secondary,USA,53e68856-dd22-3130-806f-d0bacdd11c44,https://www.pobschools.org/Domain/90,pobschools.org
Hunter College Campus Schools,-73.9541397094727,40.7859230041504,Secondary,USA,a78da10e-d4df-3a28-9002-dadb0681801e,https://www.hunterschools.org/elementary-school/elementary-school-welcome,hunterschools.org
Richard S. Sherman - Great Neck North Middle School,-73.7439117431641,40.8030853271484,Secondary,USA,8c6c8e80-81a7-35f6-bd99-1debbcc66540,https://nms.greatneck.k12.ny.us/,nms.greatneck.k12.ny.us
"Columbia Secondary School For Math, Science And Engineering",-73.9562377929688,40.8107757568359,Secondary,USA,8b8c4573-7a57-35cb-865d-3f4b9ceb7fab,https://www.columbiasecondary.org/,columbiasecondary.org
Vanderbilt Elementary School,-73.3412857055664,40.8154563903809,Primary,USA,11033f57-85f8-3bdb-ba9a-246708979106,https://www.hhh.k12.ny.us/,hhh.k12.ny.us
Bronx Community High School,-73.9072189331055,40.8233337402344,Secondary,USA,24db2847-fb6d-3e4c-891d-827cc77f348c,https://www.bronxcommunityhighschool.com/,bronxcommunityhighschool.com
Middle School X101 Edward R Byrne,-73.8294906616211,40.8269920349121,Secondary,USA,6cc41144-33ac-378f-ae73-d9435444c8e2,https://www.ms101bronx.org/,ms101bronx.org
Henry P Becton Regional High School,-74.0931625366211,40.8321838378906,Secondary,USA,5ead43c1-6e87-324a-a640-ff6b458fd5f7,https://www.bectonhs.org/,bectonhs.org
Dogwood Elementary School,-73.1774215698242,40.8574600219727,Primary,USA,01c7a3fb-8870-3505-b495-e450ef1da8d7,https://www.smithtown.k12.ny.us/Schools/Dogwood-Elementary-School,smithtown.k12.ny.us
Accompsett Elementary School,-73.2368927001953,40.8624114990234,Primary,USA,74c993bd-0845-34b1-8553-f09817515332,https://www.smithtown.k12.ny.us/Schools/Accompsett-Elementary-School,smithtown.k12.ny.us
Accompsett Middle School,-73.23974609375,40.8644599914551,Secondary,USA,54286b26-e87e-395a-98d8-024d1d719bff,https://www.smithtown.k12.ny.us/Schools/Accompsett-Middle-School,smithtown.k12.ny.us
Mills Pond Elementary School,-73.1402206420898,40.8759155273438,Primary,USA,dad67176-63d2-30ef-8c8a-f17b01506745,https://www.smithtown.k12.ny.us/Schools/Mills-Pond-Elementary-School,smithtown.k12.ny.us
Pulaski Road Elementary School,-73.3372802734375,40.8761940002441,Primary,USA,4c14937c-843f-35ee-8095-04cccdbea461,https://prs.northport.k12.ny.us/,prs.northport.k12.ny.us
Ann MacArthur Primary School,-73.5864334106445,40.8822364807129,Primary,USA,ae61e247-92be-38ca-8dad-4bc877f35dc6,https://www.locustvalleyschools.org/o/amps,locustvalleyschools.org
William T. Rogers Middle School,-73.2506637573242,40.8901557922363,Secondary,USA,60efc914-a015-39bd-91f7-6e458560c434,https://www.kpcsd.org/,kpcsd.org
Comsewogue High School,-73.0355453491211,40.907341003418,Secondary,USA,c5100a59-1cdc-327c-a5ab-0ddecf3063be,https://comsewoguehs.comsewogue.k12.ny.us/,comsewoguehs.comsewogue.k12.ny.us
Martin Luther King Junior High Technical and Computer Magnet School,-73.8934707641602,40.9317665100098,Primary,USA,acf1af6f-543b-34d9-8568-868a07efc344,https://www.yonkerspublicschools.org/o/mlk,yonkerspublicschools.org
Rocky Point Middle/High School,-72.9425201416016,40.9400787353516,Secondary,USA,8b600a5d-c15c-3052-9f1c-352dc8b0bfc7,https://www.rockypointufsd.org/ourschools,rockypointufsd.org
Highview School,-73.7906875610352,41.022876739502,Secondary,USA,4a00dbb7-9f7b-3355-90ef-a5f462bcd419,https://www.greenburghcsd.org/domain/154/?dst=static,greenburghcsd.org
Eric S Simith Middle School,-74.1512985229492,41.0666618347168,Secondary,USA,dba49305-c358-3e6a-9b38-f5c53adcd9bf,https://www.ramsey.k12.nj.us/o/smith,ramsey.k12.nj.us
Byram Hills High School,-73.6902923583984,41.1363792419434,Secondary,USA,47b0669f-6bcf-3070-8b71-49982b3edff7,https://www.byramhills.org/bhhs,byramhills.org
Fox Lane Middle School,-73.675910949707,41.1891326904297,Secondary,USA,31232ecf-8ca8-31d5-bd9c-841d4f5b0b87,https://www.bcsdny.org/,bcsdny.org
Mount Kisco Elementary School,-73.7287292480469,41.2025527954102,Primary,USA,2b0f52a9-be49-3945-88b5-86a70d9d2f06,https://www.bcsdny.org/Domain/249,bcsdny.org
Bedford Village Elementary School,-73.6404647827148,41.2056083679199,Primary,USA,57ee54e7-7acc-3b11-9dd0-688356f3c645,https://www.bcsdny.org/domain/228,bcsdny.org
Greenwood Lake Middle School,-74.2574996948242,41.2677764892578,Secondary,USA,e6ae9160-644a-3650-b510-816088f99544,https://ms.gwlufsd.org/,ms.gwlufsd.org
Peekskill Middle School,-73.9209747314453,41.2889823913574,Secondary,USA,8252f4eb-1095-39c9-9fe6-d96f8af19a5f,https://www.peekskillcsd.org/Domain/11,peekskillcsd.org
Sapphire Elementary School,-74.1680526733398,41.2955551147461,Primary,USA,48586215-617c-3b36-b11c-aea73110f8be,https://www.mw.k12.ny.us/o/sapphire,mw.k12.ny.us
Mohansic Elementary School,-73.8038330078125,41.2974967956543,Primary,USA,a6ece5f9-2345-316e-89f9-5e638f35204d,https://mohansic.yorktown.org/,mohansic.yorktown.org
North Main Street Elementary School,-74.1864700317383,41.333366394043,Primary,USA,e32f6667-e174-3f76-b505-79c99d51a10d,https://www.mw.k12.ny.us/o/nm,mw.k12.ny.us
Putnam Valley Middle School,-73.8586120605469,41.3358345031738,Secondary,USA,fb846374-acc6-3365-bf80-9cf01de0f009,https://pvcsd.org/index.php/ms/,pvcsd.org
James I O'Neill High School,-73.9756927490234,41.3503189086914,Secondary,USA,28b27338-0be6-3a51-9c17-2c5435e8d647,https://www.hffmcsd.org/,hffmcsd.org
Mahopac High School,-73.7571792602539,41.3651580810547,Secondary,USA,13ff2147-05ad-381d-98a7-1012545f2517,https://www.mahopac.k12.ny.us/,mahopac.k12.ny.us
Round Hill Elementary School,-74.1791458129883,41.3955879211426,Primary,USA,dd6b3d1e-2936-3766-b105-c809415e6fa8,https://rh.wcsdk12.org/,rh.wcsdk12.org
Cornwall Central Middle School,-74.0318603515625,41.4433288574219,Secondary,USA,1cf89090-4861-33ba-b14e-1c3570bf1398,https://www.cornwallschools.com/domain/11,cornwallschools.com
Kent Elementary School,-73.6818008422852,41.4920997619629,Primary,USA,ac91997f-763c-3932-bf57-d43996d671c1,https://kes.carmelschools.org/,kes.carmelschools.org
Fishkill Elementary School,-73.9013900756836,41.5374984741211,Primary,USA,d14987e5-102e-34cc-a1aa-f26cd41aed75,https://fes.wappingersschools.org/,fes.wappingersschools.org
John G Borden Middle School,-74.1757583618164,41.6035995483398,Secondary,USA,b4717465-b4a8-36ff-84ea-a10a0588cd77,https://www.wallkillcsd.k12.ny.us/schools/john-g-borden-middle-school,wallkillcsd.k12.ny.us
Fallsburg Junior Senior High School,-74.6143264770508,41.7323150634766,Primary,USA,28f147f6-7fb9-36ac-8012-8db97d251104,https://www.fallsburgcsd.net/,fallsburgcsd.net
Haviland Middle School,-73.9066696166992,41.7727775573731,Secondary,USA,cfe7a9cf-2fec-39ec-b115-5c61705cf7e6,https://www.hpcsd.org/Haviland,hpcsd.org
Webutuck Middle School-High School,-73.5358352661133,41.8861122131348,Secondary,USA,c198aeb5-6933-3089-89ed-83aa0274b417,https://www.webutuckschools.org/,webutuckschools.org
Rhinebeck High School,-73.9004135131836,41.9253692626953,Secondary,USA,176cbcbd-c500-3b1a-b1fb-c586a5871d2c,https://www.rhinebeckcsd.org/,rhinebeckcsd.org
Otto-Eldred Junior/Senior High School,-78.4746475219727,41.9378166198731,Primary,USA,f3078a78-eb53-3bff-8e96-5639f4bf0e46,https://www.ottoeldred.org/,ottoeldred.org
Woodstock Elementary School,-74.1114273071289,42.0351371765137,Primary,USA,706e6925-977e-3fd1-9e50-dfac82157188,https://woodstock.onteora.k12.ny.us/,woodstock.onteora.k12.ny.us
Jasper-Troupsburg Elementary School,-77.5454483032227,42.0457992553711,Primary,USA,b739875b-d803-3721-9664-75a19b106843,https://www.jtcsd.org/elementary-school/homepage,jtcsd.org
Tioga Senior High School,-76.3511123657227,42.0577774047852,Secondary,USA,f6871c35-a203-3456-a363-7aa8962876f5,https://www.tiogacentral.org/,tiogacentral.org
Bolivar Richburg Junior Senior High School,-78.1601257324219,42.0661735534668,Primary,USA,81ccf2cb-4326-3c4d-99fa-643a57844cea,https://www.bolivarrichburg.org/,bolivarrichburg.org
Olean Senior High School,-78.4347229003906,42.0825004577637,Secondary,USA,db25f18a-6ed2-33e4-b378-10b6f8376a74,https://www.oleanschools.org/ohs,oleanschools.org
Windsor Elementary School,-75.6415710449219,42.0828590393066,Primary,USA,4368da8c-4f0f-3414-81e2-e93f53317b0b,https://www.windsor-csd.org/,windsor-csd.org
Southwestern High School,-79.2911148071289,42.0921363830566,Secondary,USA,04867c67-8d5b-3af5-8254-49acaf3bdb15,https://www.swcsk12.org/,swcsk12.org
Union-Endicott High School,-76.0483322143555,42.0976333618164,Secondary,USA,23660088-f0d1-3d51-91b0-558ea7c344ff,https://www.uek12.org/o/uehs,uek12.org
Seton Catholic Central High School,-75.928581237793,42.0984840393066,Secondary,USA,25a0bf86-5181-3de7-8408-a2b94149c219,https://csbcsaints.org/seton-catholic-central/,csbcsaints.org
Owego Elementary School,-76.2738037109375,42.1139450073242,Primary,USA,3935ba36-bc11-3558-976d-f03bfd62908b,https://www.oacsd.org/o/oe,oacsd.org
Cohen Middle School,-76.8318481445313,42.1202201843262,Secondary,USA,c4a9db86-f7df-31f4-978a-695af0528839,https://www.heightsschools.com/o/cohenelem,heightsschools.com
Wellsville Elementary School,-77.9275054931641,42.12060546875,Primary,USA,84f55473-bfa4-37fd-91f0-13ec15b2f4b8,https://www.wellsvilleschools.org/,wellsvilleschools.org
Walton Central School Middle and High,-75.1256408691406,42.1600341796875,Secondary,USA,9a37285b-0ec2-39dd-aa5d-97fdad425871,https://www.waltoncsd.org/,waltoncsd.org
Prospect Elementary School,-78.6928100585938,42.1625633239746,Primary,USA,d379608f-bcd2-3ad6-bc1c-4c742e52d419,https://www.salamancany.org/o/elementary-school,salamancany.org
