school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
Kutztown Area Middle School,-75.76836395263672,40.51192855834961,Secondary,USA,b2581bb9-9071-3523-8c59-f66b3169ee7d,
South Richmond High School,-74.22237396240234,40.512046813964844,Secondary,USA,6b6d04b9-8842-3a16-9c78-89c7664f9283,
Dr. Herbert N. Richardson 21st Century Elementary School,-74.27751922607422,40.512420654296875,Primary,USA,635d7fe0-fc87-3481-91a8-94e094799a44,
Garfield School,-78.41307067871094,40.512569427490234,Unknown,USA,99e19ef0-56bf-3086-8cec-c91fdff1cdf5,
Perth Amboy Adult High School,-74.26862335205078,40.51262283325195,Secondary,USA,aea25b62-75a7-30bd-a982-0af9365d5285,
Name unknown,-74.26734161376953,40.51278305053711,Unknown,USA,3cb85f0a-e650-333f-afd8-6d36100c4299,
Name unknown,-75.7698745727539,40.5128288269043,Unknown,USA,600aa4e6-9838-3b80-96ce-da60c2b7cdf7,
Name unknown,-78.39556884765625,40.513404846191406,Unknown,USA,54bb75d6-066e-37de-bbb5-2844a1d9fe4c,
Liberty Bell Elementary School,-75.39730834960938,40.513648986816406,Primary,USA,978e6872-bd9e-3701-b5d8-bff68f1f0d7a,
St. Michael the Archangel School,-75.44557189941406,40.51384353637695,Unknown,USA,ec8f79a5-a2cb-3792-863a-f63a791889d9,
Name unknown,-74.56583404541016,40.51393508911133,Unknown,USA,970f7d03-8657-382f-9f41-e8c4043183d9,
Perth Amboy Technical High School,-74.26276397705078,40.5141487121582,Secondary,USA,18ac5464-5f20-3424-81d7-18e2124ae05a,
Anthony V Ceres Elementary School,-74.26583099365234,40.51430892944336,Primary,USA,ac97f1cc-e658-3209-bbde-9d68a3a364fe,
Hua Xia Edison Chinese School,-74.39472198486328,40.51444625854492,Unknown,USA,a0d8129a-d541-3a04-9a7c-1c77a857580e,
Name unknown,-74.2659683227539,40.51445007324219,Unknown,USA,cbf04f12-0d2a-3033-b339-5a968f541797,
Edison High School,-74.38739013671875,40.514495849609375,Secondary,USA,17b30649-0cae-3315-bff2-24cf7f2371f9,
SS Peter and Paul School,-78.41390228271484,40.5145149230957,Unknown,USA,bacfcd21-f425-3d99-8ebf-1aee1dbd284c,
Saint Peter,-78.41390228271484,40.5145149230957,Unknown,USA,a8ef7342-3252-33da-af1c-45d5ded29465,
Name unknown,-74.64697265625,40.51455307006836,Unknown,USA,fafefd45-daf8-3b3e-b086-1edc94d88a94,
Mount Carmel School,-78.3972396850586,40.515071868896484,Unknown,USA,69734d46-6fa9-3c22-b9b6-80cc8a677517,
Kutztown Elementary School,-75.770751953125,40.51509475708008,Primary,USA,446addab-3015-3272-815d-f080a07eb85a,
Apple Montessori School,-74.35897827148438,40.515464782714844,Unknown,USA,b8b9fbbb-4ed3-32b1-a906-d30f09f52362,
Perth Amboy Catholic Intermediate School,-74.26388549804688,40.515560150146484,Unknown,USA,f74fccb9-5894-3b04-b10c-4784d1e3581a,
Church Hill School,-77.39693450927734,40.51591110229492,Unknown,USA,1186749a-b205-3d90-a0bd-8927535a2978,
Rose M. Lopez Elementary School,-74.2793197631836,40.516109466552734,Primary,USA,256cef1c-c802-379d-b838-738eea39e684,
Hunterdon Central High School,-74.85231018066406,40.51615524291992,Secondary,USA,40b6189c-9fbd-33c0-b20e-cf8575073e49,
Most Holy Rosary School,-74.27236938476562,40.51621627807617,Unknown,USA,1cc3f097-ec70-3784-9b46-79bebaadf0af,
Thomas Jefferson Middle School,-74.40928649902344,40.516334533691406,Secondary,USA,0cc7a1ae-76ac-3032-aecd-1f2ce71a9973,
Name unknown,-74.40910339355469,40.5163459777832,Unknown,USA,4820b57d-8804-3c45-8769-ff128a24ddb8,
Washington Jefferson Elementary School,-78.38612365722656,40.51646041870117,Primary,USA,f76ecf35-7330-3a75-b33d-65c14015a8ec,
Washington School,-78.38612365722656,40.51729202270508,Unknown,USA,06d86c26-02cc-3882-8517-59b3cc8e2db6,
Edward J. Patten Elementary School,-74.26701354980469,40.51737976074219,Primary,USA,53656ada-5ea4-3797-bd40-8c7675a8f7de,
Name unknown,-74.85004425048828,40.517845153808594,Unknown,USA,eec88231-f0ce-3dd7-9d32-ec7a90b99dbf,
Jackson School,-77.4385986328125,40.51785659790039,Unknown,USA,c11e0ee0-4373-33ce-aeb8-8d99be067898,
Hinterleiter School,-75.72046661376953,40.518428802490234,Unknown,USA,a2a35fe2-293f-3fac-a983-2fff67d965f4,
Cedar Hill Preparatory School,-74.52344512939453,40.51894760131836,Unknown,USA,d478618d-bead-3b03-9996-2af1b9c1b429,
Hartmens School,-76.90747833251953,40.51897430419922,Unknown,USA,c63a2288-c7d6-3ed4-910c-2f62d9f06877,
Village Montessori School,-74.85474395751953,40.51947784423828,Unknown,USA,30a25281-0ed4-3c0a-9334-24f7db69e994,
Saint Marks School,-78.38973236083984,40.51951599121094,Unknown,USA,6d650214-21b3-370e-8fc0-48fd0d8adeb8,
Union School,-77.91944122314453,40.51951599121094,Unknown,USA,c3f6a020-d405-393e-9cdc-2d97dab8a9ee,
Keith Junior High School,-78.40862274169922,40.51979064941406,Primary,USA,045ad6a3-a4f3-3766-aad3-a58a997b159a,
Cherry Blossom Montessori School,-74.6850814819336,40.519805908203125,Unknown,USA,ea54d751-7896-3ca8-a38a-cfbbc1324d6c,
Auten Road Intermediate School,-74.66178894042969,40.52017593383789,Unknown,USA,818b527d-82a9-3a84-90f9-e4ccaeac7c47,
Palisades High School,-75.19747924804688,40.52070617675781,Secondary,USA,1e1b066e-bb43-3f90-a143-c67eeee236b6,
Public School 3 - The Margaret M. Gioiosa Pleasant Plains School,-74.21184539794922,40.52082061767578,Unknown,USA,df3b1d37-6e0f-31ed-9bba-17305a31cac5,
Franklin High School,-74.55436706542969,40.520835876464844,Secondary,USA,96f4fd50-5889-37d5-90d3-300a89c9cd9f,
Lincoln Elementary School,-74.38233947753906,40.521121978759766,Primary,USA,7366eb72-7f1d-3d7c-92c6-60b8672bae50,
Our Lady of Peace Elementary School,-74.27542114257812,40.521217346191406,Primary,USA,2dea582a-0abd-30a3-b50a-4f41741f0c41,
Hunterdon County Polytech Academy School Central Campus,-74.84902954101562,40.52127456665039,Unknown,USA,c78f6dec-2fc2-30b3-b7e6-d8602ed64b42,
Perth Amboy Catholic Middle School,-74.26737976074219,40.52153015136719,Secondary,USA,3bfba086-7456-369e-a419-b241a6fb1a75,
Palisades Area Middle School,-75.20404815673828,40.521549224853516,Secondary,USA,f76dd28f-d2d5-3846-99f3-29b319504c5e,
Springfield Township Elementary School,-75.29165649414062,40.522579193115234,Primary,USA,69f0a54f-1849-3ed0-99cd-0c49481685f0,
Ukrainian Catholic Church of the Assumption School,-74.2732925415039,40.52278518676758,Unknown,USA,30650978-00bf-3df5-882d-d4488f025dec,
Old Port School,-77.38943481445312,40.522857666015625,Unknown,USA,6c7a9cde-3a6a-3243-8762-f404de239916,
Intermediate School 7,-74.18609619140625,40.522972106933594,Unknown,USA,295e0db8-f39b-309a-9c0a-9b58c9d83807,
Durham-Nockamixon Elementary School,-75.19976043701172,40.523128509521484,Primary,USA,d3d36787-03d9-3e56-a270-3787b0252789,
Gateway Academy,-74.23162841796875,40.52323532104492,Unknown,USA,2fd90389-6cc5-36a4-b52b-f8f9df0c44f7,
Rutgers Livingston Day Care School,-74.433349609375,40.523372650146484,Unknown,USA,0e7c3c2c-6266-32c5-a4b6-ca33cb107b4c,
Name unknown,-74.7951889038086,40.5235595703125,Unknown,USA,c95162a8-e914-3403-9b01-633ea2182c75,
School Number 6,-77.75554656982422,40.523685455322266,Unknown,USA,dcddd7c9-c1fd-310f-8e61-e073424fa09b,
Farmington School,-75.66991424560547,40.524261474609375,Unknown,USA,14097b4d-7b85-3b1c-9e34-5f9c2dfecefb,
Three Bridges Elementary School,-74.79546356201172,40.52434158325195,Primary,USA,088dfa76-9b4f-35d3-be31-30c92a4e8b9f,
Saint Joseph By The Sea High School,-74.17658996582031,40.524749755859375,Secondary,USA,c04db273-6ad5-3345-aa9b-06b0ea434842,
Perth Amboy Catholic Primary School,-74.28764343261719,40.52496337890625,Primary,USA,e4273f88-beb4-37a0-b5e6-bfbd22553e00,
Cold Spring School,-77.99750518798828,40.52507400512695,Unknown,USA,f4abdf33-f29a-36ee-9db6-e0282a65341d,
Helping Hands Learning Center School,-74.32001495361328,40.52522659301758,Unknown,USA,bafec901-7b49-3831-a0de-f80f0ad84106,
Rutgers Preparatory School,-74.49507141113281,40.52560806274414,Unknown,USA,f596c5a0-5fa4-39e0-8c8f-e1f17ea289fd,
Piscataway Vocational Technical High School,-74.42701721191406,40.525699615478516,Secondary,USA,3e3bd77a-a496-3f63-a8e4-ad22e79e9119,
Yeshiva Shaarie Tzion School,-74.48892211914062,40.5263786315918,Unknown,USA,60162ced-210c-3e0d-9b2e-4b1cd19e5302,
St. Joseph - St. Thomas School,-74.2110595703125,40.52642059326172,Unknown,USA,1684c899-8eea-33c6-91b4-f78101ce0ab9,
NuView Academy,-74.48987579345703,40.526493072509766,Unknown,USA,abdbe9fa-1144-3c51-9a0c-302c128003ae,
Kindercare Learning Center School,-74.46956634521484,40.52727508544922,Unknown,USA,1fb1a822-3059-39a6-b9f7-c48a2d23a6db,
Yeshiva of Staten Island,-74.21440124511719,40.527587890625,Unknown,USA,3e86fb5b-8cc0-33ef-b9d0-749a413eb41a,
Irving Elementary School,-78.39691162109375,40.52761459350586,Primary,USA,3372e4f5-18b0-38ba-b88c-241eef4e7086,
Saint Theresa School,-78.40751647949219,40.52784729003906,Unknown,USA,0b1a96a5-faa8-31b1-bb82-24cd8160c11c,
Name unknown,-74.85504913330078,40.5281982421875,Unknown,USA,1776900b-fe45-342d-afb4-d566c64ff948,
Tottenville High School,-74.19352722167969,40.52831268310547,Secondary,USA,a13fafd6-07c1-34f5-9fbe-4e12626ef5d0,
Name unknown,-75.49170684814453,40.52839279174805,Unknown,USA,a076e59d-9640-3961-bf08-0062b570e544,
First Class School,-74.43512725830078,40.528419494628906,Unknown,USA,7b88f315-e401-3118-b777-7d36f8d39aff,
Springfield School,-75.29684448242188,40.529266357421875,Unknown,USA,b7f99a37-e18c-31b1-af93-6d16dce99035,
Logan Elementary School,-78.3711929321289,40.5294303894043,Primary,USA,2977ba75-6170-3c99-ac8f-07aa8fe272c0,
Locust Grove School,-77.70665740966797,40.529518127441406,Unknown,USA,0ee85e17-c4f8-3f4e-a08c-1e3a8aa29455,
Spring Run School,-74.85382843017578,40.529685974121094,Unknown,USA,042a8937-21d6-3db8-b192-72c6aaa45e8a,
Our Lady of Peace School,-74.3175277709961,40.52975845336914,Unknown,USA,a947ff5a-03f3-3363-81cb-e45c80879c89,
Public School 5,-74.18753814697266,40.52975845336914,Unknown,USA,c29e94dd-5b61-3da0-a3f5-9c838ac92284,
Raritan Valley Academy School,-74.41886901855469,40.529945373535156,Unknown,USA,23667fd0-dda6-3b0a-9ce2-4c25f91ef558,
High Road Upper School,-74.54934692382812,40.53002166748047,Secondary,USA,bd965bcc-1592-311d-ad8c-9598cd555c12,
Metuchen Christian Academy,-74.36869049072266,40.53002166748047,Unknown,USA,8b7051d8-785b-392a-ad64-935a157e73af,
Lone Cottage School,-75.13545227050781,40.53010177612305,Unknown,USA,ae4e47f4-2734-3c56-907f-66b59505ac21,
An Noor Academy School,-74.42912292480469,40.530399322509766,Unknown,USA,b8674d39-ee90-30e9-9a84-bdc33a261ccb,
Our Redeemer Lutheran School,-74.3160629272461,40.53046798706055,Unknown,USA,e8daa51d-1315-3a35-ab6e-fbf36ae108ff,
Oak Grove School,-77.66943359375,40.53063201904297,Unknown,USA,cd7a640d-8d83-376d-b585-a1e849fbdd12,
Edgar Middle School,-74.3620834350586,40.53086853027344,Secondary,USA,2046bf48-82af-3fbf-a725-af4a711e5c07,
Piscataway Regional Day School,-74.4197006225586,40.530982971191406,Unknown,USA,7b48aebc-b024-330a-9eb0-706f25f38220,
Yeshiva Shaarei Tzion Boys School,-74.42719268798828,40.53124237060547,Unknown,USA,11c21a60-a3a7-3b89-a5c1-ce4638a81c52,
Name unknown,-74.54840850830078,40.53145980834961,Unknown,USA,bcb3c03d-cea9-396d-a7ca-7f61044d4454,
Sunnymead Elementary School,-74.61161041259766,40.5314826965332,Primary,USA,70586211-f506-34d8-ba3e-557c315da6fe,
Bright Beginnings Learning Center,-74.41969299316406,40.531925201416016,Unknown,USA,25e421fb-f858-376f-a088-e496b74c555a,
Name unknown,-79.15909576416016,40.53252029418945,Unknown,USA,bd985d39-a375-3373-a192-41a766be1791,
Timothy Christian School,-74.41423797607422,40.53269958496094,Unknown,USA,700f2f8e-814b-3aba-8812-1fbab7a2204a,
Stony Point School,-75.22989654541016,40.53315734863281,Unknown,USA,6c335540-4487-3a2d-b033-c5f2ae973299,
Maxatawney Elementary School,-75.73185729980469,40.53342819213867,Primary,USA,a75c4b1a-192d-332c-9b07-e1e14271bb45,
Saint Paul Christian School,-74.85894012451172,40.53349685668945,Unknown,USA,5218f184-bff3-377d-b423-9ff0707948b7,
James J. Flynn Elementary School,-74.28494262695312,40.533504486083984,Primary,USA,d15baa1f-8149-396c-90ac-f3f69173a6d3,
Southern Lehigh High School,-75.3993148803711,40.53359603881836,Secondary,USA,b6fd8ea0-f089-31a0-bcba-4ac8c3ba7111,
Emmaus High School,-75.50666809082031,40.53382110595703,Secondary,USA,94ebfef2-c8c3-33ac-9859-def9336e68f8,
Our Lady Star of the Sea School,-74.19024658203125,40.53392028808594,Unknown,USA,e1d93de3-b24c-38ed-8985-7c39b8a65141,
Crowtown School,-76.3866195678711,40.53397750854492,Unknown,USA,e968e277-5c80-393d-8987-57e9520ef03c,
Name unknown,-75.06195068359375,40.53407669067383,Unknown,USA,28dcd0c5-32a4-3a0e-bc7a-ebd50821b843,
Franklin Charter School,-74.51571655273438,40.53419876098633,Unknown,USA,7aaf1d43-3867-3119-b158-f4c5dd2e6212,
Early Learning Center Preschool,-74.47394561767578,40.53444290161133,Unknown,USA,b5c02ee3-9809-305e-9775-9b8178b4a601,
Loop School,-78.1005630493164,40.534515380859375,Unknown,USA,4e0fd77f-ddd0-3901-95e2-81fc72296260,
The Nest School of Somerset,-74.51387023925781,40.53470993041992,Unknown,USA,aa973760-5dee-3541-841d-f6adcc9f806d,
Tuscarora Valley School,-77.39320373535156,40.53509521484375,Unknown,USA,0577014a-12f6-394b-81e0-cbc1d8f7bc19,
Weston Elementary School,-74.5937271118164,40.53529357910156,Primary,USA,23eda6f9-3e5d-3720-bfa9-129dc1534659,
Hottenstein School,-75.74047088623047,40.53537368774414,Unknown,USA,be2a40c2-85b2-36fc-93fb-59e9e25b894e,
Flemington Country Day School,-74.8545150756836,40.535552978515625,Unknown,USA,d0b82744-5f66-33a4-9d6e-e0773c09de38,
Penn School,-75.27156829833984,40.53621292114258,Unknown,USA,80c5b79a-99ca-3225-9d30-9a0cf9ab64ef,
Zarephath Christian School (Historical),-74.57435607910156,40.536380767822266,Unknown,USA,5aa1898a-d326-3f05-a86c-1b774147c4bd,
Public School 55,-74.16350555419922,40.536380767822266,Unknown,USA,35df5c1f-3f0b-3005-89c9-77e92ce2cf1d,
