school_name,source,total_ips,high,medium,low,best_score,best_ip,best_hostname
Pine Grove Middle and Woodland Elementary,sampled,0,0,0,0,0,,
Jefferson Road Elementary School,sampled,0,0,0,0,0,,
Lake Avenue Elementary School,sampled,0,0,0,0,0,,
John F Hughes Elementary School,sampled,0,0,0,0,0,,
Gaskill High School,sampled,0,0,0,0,0,,
North Broad Elementary School,sampled,0,0,0,0,0,,
Maple Avenue Middle School,sampled,0,0,0,0,0,,
Mayfield Elementary School,sampled,0,0,0,0,0,,
Donlin Drive Elementary School,sampled,0,0,0,0,0,,
Vernon-Verona-Sherrill Senior High School,sampled,0,0,0,0,0,,
John F. Kennedy Middle School,sampled,0,0,0,0,0,,
Rockester Preparatory High School,sampled,0,0,0,0,0,,
Marion Junior-Senior High School,sampled,0,0,0,0,0,,
Ballard Elementary School,sampled,0,0,0,0,0,,
DeSales Elementary and Middle School,sampled,0,0,0,0,0,,
Willow Field Elementary School,sampled,0,0,0,0,0,,
Bellamy Elementary School,sampled,0,0,0,0,0,,
Spry Middle School,sampled,0,0,0,0,0,,
Willink Middle School,sampled,0,0,0,0,0,,
Albion Middle School,sampled,0,0,0,0,0,,
Corinth Middle-High School,sampled,0,0,0,0,0,,
Paddy Hill Elementary School,sampled,0,0,0,0,0,,
Millard Hawk Elementary School,sampled,0,0,0,0,0,,
Paul V Moore High School,sampled,0,0,0,0,0,,
Abraham Wing Elementary School,sampled,0,0,0,0,0,,
Whitehall Elementary School,sampled,0,0,0,0,0,,
Sandy Creek High School,sampled,0,0,0,0,0,,
General Bruce C. Clark Junior/Senior High School,sampled,0,0,0,0,0,,
Ohio Elementary School,sampled,0,0,0,0,0,,
Dexter Elementary School,sampled,0,0,0,0,0,,
Indian River Central High School,sampled,0,0,0,0,0,,
Theresa Elementary School,sampled,0,0,0,0,0,,
Lake Placid High School,sampled,0,0,0,0,0,,
Paul Smiths College,sampled,0,0,0,0,0,,
Grant C. Madill Elementary School,sampled,0,0,0,0,0,,
John F. Kennedy Elementary School,sampled,0,0,0,0,0,,
Madrid-Waddington High School,sampled,0,0,0,0,0,,
Malone Middle School,sampled,0,0,0,0,0,,
Flanders Elementary School,sampled,0,0,0,0,0,,
Madison Elementary School,sampled,0,0,0,0,0,,
Rouses Point Elementary School,sampled,0,0,0,0,0,,
Monroe Woodbury Middle School,reattributed,4079,4079,0,0,2,209.222.32.8,mwcsd-209-222-32-8.mw.k12.ny.us
