ip_address,school_name,geo_school,district_code,district_type,hostname,phase2_match,asn,whois_org,is_hosting,strong_dns_match,ny_k12_domain,whois_match,fcc_match,score,confidence,distance_km
163.153.159.42,Chateaugay Central School,Malone Middle School,cpcs,public,42.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.41,Chateaugay Central School,Malone Middle School,cpcs,public,41.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.45,Chateaugay Central School,Malone Middle School,cpcs,public,45.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.46,Chateaugay Central School,Malone Middle School,cpcs,public,46.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.43,Chateaugay Central School,Malone Middle School,cpcs,public,43.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.44,Chateaugay Central School,Malone Middle School,cpcs,public,44.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.47,Chateaugay Central School,Malone Middle School,cpcs,public,47.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.48,Chateaugay Central School,Malone Middle School,cpcs,public,48.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.51,Chateaugay Central School,Malone Middle School,cpcs,public,51.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.49,Chateaugay Central School,Malone Middle School,cpcs,public,49.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.50,Chateaugay Central School,Malone Middle School,cpcs,public,50.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.52,Chateaugay Central School,Malone Middle School,cpcs,public,52.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.53,Chateaugay Central School,Malone Middle School,cpcs,public,53.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.55,Chateaugay Central School,Malone Middle School,cpcs,public,55.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.54,Chateaugay Central School,Malone Middle School,cpcs,public,54.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.56,Chateaugay Central School,Malone Middle School,cpcs,public,56.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.58,Chateaugay Central School,Malone Middle School,cpcs,public,58.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.59,Chateaugay Central School,Malone Middle School,cpcs,public,59.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.60,Chateaugay Central School,Malone Middle School,cpcs,public,60.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.57,Chateaugay Central School,Malone Middle School,cpcs,public,57.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.61,Chateaugay Central School,Malone Middle School,cpcs,public,61.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.62,Chateaugay Central School,Malone Middle School,cpcs,public,62.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.63,Chateaugay Central School,Malone Middle School,cpcs,public,63.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.65,Chateaugay Central School,Malone Middle School,cpcs,public,65.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.67,Chateaugay Central School,Malone Middle School,cpcs,public,67.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.64,Chateaugay Central School,Malone Middle School,cpcs,public,64.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.66,Chateaugay Central School,Malone Middle School,cpcs,public,66.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.68,Chateaugay Central School,Malone Middle School,cpcs,public,68.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.69,Chateaugay Central School,Malone Middle School,cpcs,public,69.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.70,Chateaugay Central School,Malone Middle School,cpcs,public,70.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.71,Chateaugay Central School,Malone Middle School,cpcs,public,71.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.72,Chateaugay Central School,Malone Middle School,cpcs,public,72.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.74,Chateaugay Central School,Malone Middle School,cpcs,public,74.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.73,Chateaugay Central School,Malone Middle School,cpcs,public,73.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.75,Chateaugay Central School,Malone Middle School,cpcs,public,75.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.76,Chateaugay Central School,Malone Middle School,cpcs,public,76.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.78,Chateaugay Central School,Malone Middle School,cpcs,public,78.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.79,Chateaugay Central School,Malone Middle School,cpcs,public,79.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.80,Chateaugay Central School,Malone Middle School,cpcs,public,80.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.81,Chateaugay Central School,Malone Middle School,cpcs,public,81.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.77,Chateaugay Central School,Malone Middle School,cpcs,public,77.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.82,Chateaugay Central School,Malone Middle School,cpcs,public,82.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.83,Chateaugay Central School,Malone Middle School,cpcs,public,83.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.84,Chateaugay Central School,Malone Middle School,cpcs,public,84.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.87,Chateaugay Central School,Malone Middle School,cpcs,public,87.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.88,Chateaugay Central School,Malone Middle School,cpcs,public,88.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.85,Chateaugay Central School,Malone Middle School,cpcs,public,85.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.86,Chateaugay Central School,Malone Middle School,cpcs,public,86.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.89,Chateaugay Central School,Malone Middle School,cpcs,public,89.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.90,Chateaugay Central School,Malone Middle School,cpcs,public,90.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.25,Chateaugay Central School,Malone Middle School,cpcs,public,25.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.91,Chateaugay Central School,Malone Middle School,cpcs,public,91.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
