cidr,school_name,reason
208.105.233.60/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.89.216/30,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.116.60/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.246.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.163.192/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.108.176/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b384:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e9:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.233.188/30,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.192/26,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.17.152/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c0:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ed:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.30.255.40/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.186.252/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.102.128/29,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.4.224/29,Willow Field Elementary School,no_phase2_match_or_timed_out
162.40.28.17/32,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e1:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7608::/45,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b382:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.163.120/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b380:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.89.64/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.187.140/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.240.144/29,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.172.192/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.237.40/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b380:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.39.224/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f1:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.73.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f9:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.220.156/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b38c:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.135.144/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.245.0/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.105.189.236/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b385:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ee:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6cd:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b38c:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.117.192/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.129.192/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.189.128/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.246.232/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.26.80/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c1:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.171.8/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.253.124/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.136.80/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7700:8000::/49,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6dc:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
76.37.103.0/24,Willow Field Elementary School,no_phase2_match_or_timed_out
198.179.98.108/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7640::/42,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.54.56/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.94.60/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.179.252/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.113.68/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.99.44/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.104.108/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.223.232/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.238.228/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.167.8/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b400:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.218.120/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d8:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.154.192/30,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.17.112/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.66.116/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.136.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.30.253.80/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.101.92/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac5:a820::/45,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.5.112/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d5:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.49.64/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7600::/49,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.170.176/30,Willow Field Elementary School,no_phase2_match_or_timed_out
184.74.45.36/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.242.216/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.99.196/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.3.236/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.52.159/32,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.0/25,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7600:8000::/49,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.61.232/30,Willow Field Elementary School,no_phase2_match_or_timed_out
198.179.100.136/30,Willow Field Elementary School,no_phase2_match_or_timed_out
