school_name,total_ips,high,medium,low,best_score,best_ip,best_hostname
Lynn Crest School #22,0,0,0,0,0,,
Yeshiva Mekor Haim,0,0,0,0,0,,
Public School 216,0,0,0,0,0,,
Lido Elementary School,0,0,0,0,0,,
East Elementary School,0,0,0,0,0,,
Public School 254 Dag Hammarskjold,0,0,0,0,0,,
Most Precious Blood School,0,0,0,0,0,,
Public School 11,0,0,0,0,0,,
Arbor Elementary School,0,0,0,0,0,,
Saint Joseph Elementary School,0,0,0,0,0,,
Saint Anns School,0,0,0,0,0,,
Public School 286,0,0,0,0,0,,
Public School 69 - Daniel D. Tompkins,0,0,0,0,0,,
Lindell Elementary School,0,0,0,0,0,,
Long Beach Middle School,0,0,0,0,0,,
Public School 26,0,0,0,0,0,,
Long Beach City Schools,0,0,0,0,0,,
Lincoln Middle School,0,0,0,0,0,,
Dunellen High School,0,0,0,0,0,,
Richmond Preparatory Charter School,0,0,0,0,0,,
Willis School,0,0,0,0,0,,
The Police Officer Rocco Laurie Intermediate School 72,0,0,0,0,0,,
New Life Christian School,0,0,0,0,0,,
Franklin Elementary School,0,0,0,0,0,,
International High School at Lafayette,0,0,0,0,0,,
Origins High School,0,0,0,0,0,,
Professional Pathways High School,0,0,0,0,0,,
Kingsborough Early College Secondary School,0,0,0,0,0,,
Intermediate School 14,0,0,0,0,0,,
Our Lady of Grace School,0,0,0,0,0,,
Lev Bais Yaakov,0,0,0,0,0,,
Advanced Math and Science III High School,0,0,0,0,0,,
Humanities III High School,0,0,0,0,0,,
Long Beach High School,0,0,0,0,0,,
Claremont Avenue Elementary School,0,0,0,0,0,,
Public School 46 - Albert V. Maniscalco School,0,0,0,0,0,,
Staten Island Academy,0,0,0,0,0,,
Middle School 198,0,0,0,0,0,,
Intermediate School 281,0,0,0,0,0,,
Middle School 198,0,0,0,0,0,,
Public School 42,0,0,0,0,0,,
Public School 106,0,0,0,0,0,,
Public School 105,0,0,0,0,0,,
Father Vincent Capodanno Catholic Academy,0,0,0,0,0,,
Public School 277,0,0,0,0,0,,
Public School 95,0,0,0,0,0,,
The Yaakov & Ilana Melohn Campus,0,0,0,0,0,,
Susan E. Wagner High School,0,0,0,0,0,,
Public School 206,0,0,0,0,0,,
Public School 101,0,0,0,0,0,,
Academy of Saint Dorothy,0,0,0,0,0,,
Plaza Child Care School,0,0,0,0,0,,
Yeshivat Ohel Torah,0,0,0,0,0,,
Jefferson Elementary School,0,0,0,0,0,,
Public School 39,0,0,0,0,0,,
Gesher Yehuda,0,0,0,0,0,,
Private Nicholas Minue Elementary School,0,0,0,0,0,,
Oak Ridge Heights School #21,0,0,0,0,0,,
Oak Ridge Heights School #21,0,0,0,0,0,,
Coney Island Prep High School,0,0,0,0,0,,
Clinton Elementary School,0,0,0,0,0,,
Torah Academy for Girls,0,0,0,0,0,,
Resurrection School,0,0,0,0,0,,
Saint Joseph Hill Academy,0,0,0,0,0,,
PS 197 The Ocean School,0,0,0,0,0,,
Public School 215,0,0,0,0,0,,
Evergreen Youth Center,0,0,0,0,0,,
Irene E Feldkirchner Elementary School,0,0,0,0,0,,
Intermediate School 228,0,0,0,0,0,,
Saint Mary's Star of the Sea School,0,0,0,0,0,,
Saint Edmund Preparatory High School,0,0,0,0,0,,
Saint Edmund Elementary School,0,0,0,0,0,,
Saint John Vianney School,0,0,0,0,0,,
Saint John Vianney School,0,0,0,0,0,,
Public School 153,0,0,0,0,0,,
Public School 97,0,0,0,0,0,,
Francis X. Hegarty Elementary School,0,0,0,0,0,,
Elizabeth Connelly Center Community Program,0,0,0,0,0,,
Yeshiva Zichron Paltiel,0,0,0,0,0,,
Geller House,0,0,0,0,0,,
Frederick Douglass Academy VI High School (Q260),0,0,0,0,0,,
Far Rockaway High School (Q465),0,0,0,0,0,,
Public School 215,0,0,0,0,0,,
Colonia Middle School,0,0,0,0,0,,
Public School 9 - Naples Street Elementary School,0,0,0,0,0,,
Colonia Middle School,0,0,0,0,0,,
Public School 54,0,0,0,0,0,,
Hartridge School,0,0,0,0,0,,
Koinonia Academy School,0,0,0,0,0,,
Public School 48 - William G. Wilcox,0,0,0,0,0,,
Green Brook Middle School,0,0,0,0,0,,
Queen City Academy Charter School,0,0,0,0,0,,
Saint Finbar School,0,0,0,0,0,,
Intermediate School 53,0,0,0,0,0,,
Roosevelt Elementary School,0,0,0,0,0,,
Good Shepherd School,0,0,0,0,0,,
Public School 255,0,0,0,0,0,,
Lavelle Preperatory Charter School,0,0,0,0,0,,
Intermediate School 234,0,0,0,0,0,,
Cedarbrook Elementary School,0,0,0,0,0,,
Public School 280,0,0,0,0,0,,
Public School 25 -South Richmond High School North Shore Annex,0,0,0,0,0,,
Public School 128,0,0,0,0,0,,
Brooklyn Studio School,0,0,0,0,0,,
Morris Morgenstern High School,0,0,0,0,0,,
Mirrer Yeshiva High School,0,0,0,0,0,,
Mirrer Yeshiva Elementary School,0,0,0,0,0,,
Lavelle Preperatory Charter School,0,0,0,0,0,,
Grover Cleveland Elementary School,0,0,0,0,0,,
Hubbard Middle School,0,0,0,0,0,,
Mikva Tahara,0,0,0,0,0,,
Magen David Yeshivah High School,0,0,0,0,0,,
Prospect Park Bnos Leah High School,0,0,0,0,0,,
Prospect Park Yeshiva,0,0,0,0,0,,
Island Park Lincoln Orens Middle School,0,0,0,0,0,,
Washington Community Elementary School,0,0,0,0,0,,
Saint Agnes Seminary,0,0,0,0,0,,
Intermediate School 278,0,0,0,0,0,,
Public School 163,0,0,0,0,0,,
Magen David Yeshiva,0,0,0,0,0,,
Public School 682,0,0,0,0,0,,
Nefesh Academy,0,0,0,0,0,,
The Richard H. Hungerford School,0,0,0,0,0,,
Mesorah School,0,0,0,0,0,,
Public School 104,0,0,0,0,0,,
Hellenic Classical Charter School,0,0,0,0,0,,
Seth Low Intermediate School 96,0,0,0,0,0,,
Public School 177,0,0,0,0,0,,
Bridge Preperatory Charter School,0,0,0,0,0,,
Lawrence Public Schools Broadway Campus,0,0,0,0,0,,
Michael J. Petrides Educational Complex,0,0,0,0,0,,
Michael J. Petrides School,0,0,0,0,0,,
Bet Yakov Ateret Torah High School,0,0,0,0,0,,
Marine Park Day School,0,0,0,0,0,,
Yeshiva Gedoila Tiferes Mordechai Viznitz,0,0,0,0,0,,
Moore Catholic High School,0,0,0,0,0,,
Lawrence Middle School,0,0,0,0,0,,
Saint Marys School,0,0,0,0,0,,
Bnos Israel of East Flatbush,0,0,0,0,0,,
Lawrence Elementary School,0,0,0,0,0,,
Pats Day Care Center School,0,0,0,0,0,,
Three Hierarchs School,0,0,0,0,0,,
James Madison High School,0,0,0,0,0,,
Concord High School,0,0,0,0,0,,
Public School 60,0,0,0,0,0,,
Pre K,0,0,0,0,0,,
Public School 186,0,0,0,0,0,,
Saint John Lutheran School,0,0,0,0,0,,
