cidr,school_name,verdict,ny_k12_found,k12_found,ips_checked,total_hosts
24.103.78.208/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
100.8.228.0/24,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,254
24.103.111.192/28,Saint Edmund Preparatory High School,CONFIRMED_NEGATIVE,,,14,14
184.74.218.128/26,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,62
128.242.119.0/24,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,254
50.222.181.224/28,Bethlehem Central Middle School,CONFIRMED_NEGATIVE,,,14,14
98.0.129.128/29,Saint Edmund Preparatory High School,CONFIRMED_NEGATIVE,,,6,6
24.39.145.60/30,Queens Technical High School,CONFIRMED_NEGATIVE,,,2,2
50.75.67.160/28,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,14,14
50.75.45.116/30,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,2,2
96.250.226.0/24,Rachel Carson High School for Coastal Studies,CONFIRMED_NEGATIVE,,,40,254
69.193.56.128/28,Lorraine Elementary School,CONFIRMED_NEGATIVE,,,14,14
72.43.154.212/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
38.88.210.192/29,Hanson Place Seventh-Day Adventist Elementary School,CONFIRMED_NEGATIVE,,,6,6
72.45.153.184/29,Lorraine Elementary School,CONFIRMED_NEGATIVE,,,6,6
208.105.43.36/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
208.127.69.242/32,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,1,1
12.182.255.0/24,Tottenville High School,CONFIRMED_NEGATIVE,,,40,254
128.77.105.96/27,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,30,30
152.179.9.32/28,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,14,14
24.97.139.12/30,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,2,2
131.229.145.10/32,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,1,1
208.105.184.32/29,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,6,6
72.43.196.92/30,Ohio Elementary School,CONFIRMED_NEGATIVE,,,2,2
173.68.76.0/24,Martin Luther King Junior High Technical and Computer Magnet School,CONFIRMED_NEGATIVE,,,40,254
